GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,491262,126607,-2.35147,0,0.5,2,0,4294967295,0,26,26,0
0,0,3464.99,406028,333660,120085,-2.34468,0,0.5,2,0,4294967295,0,26,26,0
0,0,47894.7,1.45505e+06,845116,76617.6,-2.30426,0,0.5,2,0,4294967295,0,26,26,0
0,0,322.378,4287.32,4287.32,1.90658e+06,-2.46243,14,0.5,2,1593,20,1,11,6,5
0,0,39.532,1211.25,1211.25,5.4966e+06,-2.20756,15,0.5,2,-1.62797e-16,21,1,10,6,4
0,0,321.486,10795.8,10795.8,2.1632e+06,-2.50065,16,0.5,2,1587.9,25,1,9,9,0
0,0,41.055,497.213,497.213,2.33732e+08,-2.20265,17,0.5,2,223.174,21,1,8,4,4
0,0,1624.72,26021.6,18716.3,611189,-2.30151,17,0.5,2,1357.58,4294967295,0,8,8,0
0,0,1591.77,26687.1,4858.11,80249.9,-2.30151,22,0.5,2,0,4294967295,0,3,3,0
0,0,42.27,490.763,275.113,3.11471e+08,-2.20265,22,0.5,2,0,4294967295,0,3,3,0
0,0,306.125,4628.15,1380.81,4.08315e+07,-2.46243,22,0.5,2,0,4294967295,0,3,3,0
0,0,42.4065,1275.67,213.095,1.72476e+08,-2.20756,23,0.5,2,0,4294967295,0,2,2,0
0,0,39.4731,1159.02,98.1835,1.09666e+07,-2.20756,24,0.5,2,0,4294967295,0,1,1,0
0,0,334.387,4489.59,596.027,2.59869e+07,-2.46243,24,0.5,2,0,4294967295,0,1,1,0
0,0,39.3579,500.617,95.707,1.78086e+08,-2.20265,24,0.5,2,0,4294967295,0,1,1,0
0,0,39.0557,1199.66,39.0557,1.12326e+08,-2.20756,25,0.5,2,0,4294967295,0,0,0,0
0,1,4378.71,87851.9,17526.6,1.09897e+06,-0.000167489,10,0.5,3.17887,0,4294967295,0,15,15,0
0,2,1673.33,26501.5,26501.5,100076,-2.46243,0,0.5,3.11169,11637,18,1,26,19,7
0,2,41.8346,2556.96,2556.96,587055,-2.34468,0,0.5,3.60497,0,11,1,26,12,14
0,2,1012.88,81987.1,56748.8,114124,-2.24328,0,0.5,2.01271,0,4294967295,0,26,26,0
0,2,25.2529,554.064,554.064,2.14859e+06,-2.35147,14,0.5,3.24415,0,17,1,11,3,8
0,2,130.038,5353.58,5353.58,1.95738e+06,-2.20756,15,0.5,3.26983,0,21,1,10,6,4
0,2,257.682,8036.89,4741.61,1.14286e+07,-2.50065,22,0.5,3.59418,24.9267,4294967295,0,3,3,0
0,2,130.681,5629.27,1415.38,2.63192e+08,-2.20756,22,0.5,3.42041,0,4294967295,0,3,3,0
0,2,39.5406,2576.64,380.065,2.53507e+08,-2.34468,22,0.5,2.12526,0,4294967295,0,3,3,0
0,2,27.1387,548.178,123.096,1.32086e+08,-2.35147,22,0.5,2.00231,0,4294967295,0,3,3,0
0,2,1691.6,27018.6,7443.76,1.50011e+06,-2.46243,23,0.5,3.37968,0,4294967295,0,2,2,0
0,2,130.802,5783.99,278.427,1.4736e+08,-2.20756,23,0.5,2.09246,0,4294967295,0,2,2,0
0,2,41.8346,2556.96,105.682,1.83154e+07,-2.34468,23,0.5,2.00069,0,4294967295,0,2,2,0
0,2,261.653,8949.91,380.072,2.12681e+06,-2.50065,24,0.5,2.15594,0,4294967295,0,1,1,0
0,2,25.0573,568.518,25.0573,2.49916e+08,-2.35147,25,0.5,2.5,0,4294967295,0,0,0,0
0,2,41.8346,2556.96,41.8346,5.05398e+07,-2.34468,25,0.5,2.5,0,4294967295,0,0,0,0
0,2,133.307,5459.26,133.307,6.5324e+07,-2.20756,25,0.5,2.5,0,4294967295,0,0,0,0
0,3,1.26535,10.2203,5.11017,20.3562,-2.20265,22,0.10683,2,0,25,1,3,3,0
0,3,0.762592,12.0713,11.5969,3.61844e+06,-2.35147,22,0.10683,2,0,4294967295,0,3,3,0
0,3,1.64212,36.8407,22.2698,1.42983e+07,-2.71651,22,0.10683,2,0,4294967295,0,3,3,0
0,3,11.253,290.895,71.3793,6.63962e+07,-2.50065,22,0.10683,2,0,4294967295,0,3,3,0
0,3,2.47394,22.1791,22.1791,210319,-2.30151,22,0.10683,2,5.0744,25,1,3,3,0
0,3,9.0525,72.8191,61.2666,8.13306e+07,-2.46243,22,0.10683,2,0,4294967295,0,3,3,0
