GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.25771e+10,0,0,0
0,0,1.45505e+06,1.12299e+10,0,0,0
0,0,2189.77,8.8408e+08,0,0,0
0,0,288821,6.34796e+09,0,0,0
0,0,10988.2,6.54257e+09,0,0,0
0,0,488.836,1.00005e+11,0,0,0
0,0,1103.7,1.85098e+11,0,0,0
0,0,24209,3.11241e+09,0,0,0
0,0,4059.44,3.80901e+10,0,0,0
0,0,1102.18,1.14114e+11,0,0,0
0,0,26719,3.97398e+09,0,0,0
0,0,4323.57,5.66767e+10,0,0,0
0,0,437.424,0,0,0,0
0,0,10988.2,0,0,0,0
0,1,92077.2,0,9.57611e+09,1.25521e+09,5.79464e+08
0,2,2556.96,1.01794e+09,5.59394e+08,5.66121e+08,3.61949e+08
0,2,81987.1,1.97728e+09,2.659e+07,4.58577e+06,303566
0,2,4895.17,3.86195e+09,1.99436e+09,5.57084e+09,1.05983e+09
0,2,603.651,4.71911e+09,5.27528e+10,1.58183e+09,5.36812e+08
0,2,455.601,7.67551e+08,3.64178e+10,4.78823e+08,5.19372e+08
0,2,5092.46,7.15355e+10,9.38549e+10,3.53122e+10,2.03283e+10
0,2,2298.82,1.31249e+10,6.77912e+08,1.72619e+08,7.77952e+07
0,2,26501.5,3.0962e+09,3.99232e+09,4.7935e+09,1.35376e+09
0,2,8727.34,7.58404e+09,2.62298e+10,6.85258e+09,2.00765e+10
0,2,8971.15,8.27758e+08,1.56592e+09,1.13574e+08,3.02215e+07
0,2,5264.55,4.7189e+10,2.58893e+09,8.99793e+08,2.6825e+08
0,2,2556.96,1.2126e+10,70270.8,740962,235319
0,2,8864.88,0,0,0,0
0,2,455.601,0,0,0,0
0,2,576.648,0,0,0,0
0,2,27775,0,0,0,0
0,3,73.5643,4.52262e+08,0,0,0
0,3,9.9717,9.66535,0,0,0
0,3,32.5745,674191,0,0,0
0,3,150.17,5.60576e+08,0,0,0
0,3,18.6441,5.73319e+07,0,0,0
0,3,144.376,3.11827e+07,0,0,0
0,3,18.6441,0,0,0,0
0,3,9.24802,0,0,0,0
0,3,249.522,0,0,0,0
0,3,446.707,0,0,0,0
0,4,1226.77,0,2.51768e+09,3.30718e+07,3.92073e+07
0,4,605.703,0,250531,2.56307e+07,1.00605e+06
0,4,246.463,0,259497,832993,102095
0,4,35.7325,0,9.05574,0,2.10624
0,4,95.506,0,0,0,0
0,4,1247.92,0,5.57585e+10,1.06252e+10,1.08826e+09
0,5,10.7571,1.775e+07,0.188632,0,0.0279516
0,5,47.1092,2.51612e+07,0.30044,0,0.0443854
0,5,78.9538,6.26758e+07,49.7912,1.30371,3.21407
0,5,701.157,4.65463e+09,1.09036e+09,8.55264e+07,2.20843e+07
0,5,1031.92,2.89906e+09,86742.8,1.91046e+06,631492
0,6,866.046,1.48584e+09,0,0,0
0,6,16165.1,2.25914e+08,0,0,0
0,6,2459.61,1.25156e+07,0,0,0
0,6,8001.09,8.59408e+06,0,0,0
0,6,59102.4,1.11561e+09,0,0,0
0,6,433.943,4.47416e+06,0,0,0
0,6,3104.73,5.50195e+09,0,0,0
0,6,1483.97,6.01719e+07,0,0,0
0,6,65.5624,1.48618e+07,0,0,0
0,6,932.254,2.25479e+07,0,0,0
0,6,2723.33,1.23352e+06,0,0,0
0,6,16133.5,8.86227e+08,0,0,0
0,6,8683.12,5.83103e+07,0,0,0
0,6,2872.87,3.93424e+08,0,0,0
0,6,433.943,6.46033e+07,0,0,0
0,6,64.8482,2.09641e+07,0,0,0
0,6,778.479,1.93256e+09,0,0,0
0,6,453.276,0,0,0,0
0,6,64.5588,0,0,0,0
0,6,2555.01,0,0,0,0
0,7,7498.23,0,3.00075e+08,4.07394e+08,7.43087e+06
0,7,958.171,0,2.15624e+09,2.32547e+08,1.18424e+08
0,7,10582.5,0,5.36399e+08,4.69185e+08,1.66775e+07
0,7,42193.6,0,4.35617e+09,1.75757e+09,5.87337e+07
0,7,259.535,0,1.83583e+09,1.46241e+08,4.73908e+07
0,7,1742.19,0,2.97801e+08,1.257e+08,1.6316e+08
0,7,389.559,0,1.44189e+10,6.57771e+09,2.3977e+09
0,7,10644.9,0,9.32546e+09,1.51125e+08,1.66693e+08
0,7,1048.84,0,166566,1237.25,14707.4
0,7,267.513,0,301548,21381,22044.9
0,7,10376.5,0,2.82773e+09,9.55709e+07,2.34691e+07
0,7,7600.58,0,1.57405e+10,6.7004e+08,3.12311e+08
0,7,1801.47,0,0,0,0
0,7,417.266,0,0,0,0
0,7,45586.3,0,0,0,0
0,8,3645,1.84508e+07,2.37938e+07,2.02529e+07,2.05266e+07
0,8,33305.8,1.98247e+08,5.322e+07,8.09587e+06,581507
0,8,16203.9,1.74025e+08,2.48906e+08,3.24345e+07,8.77838e+06
0,8,6847.92,1.53062e+08,1.49058e+08,2.15756e+08,3.82463e+07
0,8,736.679,5.72464e+07,5.52014e+08,4.34001e+07,3.93129e+07
0,8,6724.09,2.34068e+08,5.58421e+09,1.54329e+08,1.36338e+08
0,8,3645,2.27379e+08,6.196e+08,1.54068e+07,2.93279e+06
0,8,716.094,2.15575e+09,33436.2,711113,236104
0,8,1417.28,0,0,0,0
0,8,6474.88,0,0,0,0
0,8,745.814,0,0,0,0
0,8,16852.3,0,0,0,0
0,8,3949.18,0,0,0,0
