Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
111332,1,10000,H,Ecto,5.34447e+06
111332,1,10000,H,Endo,5.73799e+06
111332,1,100000,H,Endo,2310.69
111332,1,10000,O,Ecto,794709
111332,1,10000,O,Endo,1.54136e+07
111332,1,10000,C,Ecto,4.43158e+06
111332,1,10000,C,Endo,178370
88727.5,1,10000,H,Ecto,1.97172e+08
88727.5,1,10000,H,Endo,2.32942e+08
88727.5,1,100000,H,Endo,66398.9
88727.5,1,10000,O,Ecto,3.05421e+07
88727.5,1,10000,O,Endo,6.19952e+08
88727.5,1,10000,C,Ecto,1.5036e+08
88727.5,1,100000,C,Endo,181512
81987.1,2,1000,H,Ecto,594850
81987.1,2,10000,H,Ecto,1.49363e+06
81987.1,2,1000,H,Endo,1.01841e+06
81987.1,2,10000,H,Endo,2.95783e+06
81987.1,2,100000,H,Endo,1.74708e+06
81987.1,2,1000,O,Ecto,354328
81987.1,2,10000,O,Ecto,22283.5
81987.1,2,1000,O,Endo,9.66851e+07
81987.1,2,10000,O,Endo,806630
81987.1,2,1000,C,Ecto,6.96301e+06
81987.1,2,10000,C,Ecto,1.95779e+06
81987.1,2,10000,C,Endo,7.02058
81987.1,2,100000,C,Endo,0.149192
4895.17,2,100,H,Ecto,7.94941e+06
4895.17,2,1000,H,Ecto,2.64589e+07
4895.17,2,10000,H,Ecto,4152.04
4895.17,2,100,H,Endo,1.1161e+06
4895.17,2,1000,H,Endo,1.09173e+09
4895.17,2,10000,H,Endo,7.43854e+07
4895.17,2,100,O,Ecto,2.24526e+07
4895.17,2,1000,O,Ecto,4.31055e+06
4895.17,2,10000,O,Ecto,147621
4895.17,2,100,O,Endo,3.25493e+06
4895.17,2,1000,O,Endo,2.07093e+09
4895.17,2,100,C,Ecto,1.80012e+06
4895.17,2,1000,C,Ecto,2.03974e+08
4895.17,2,10000,C,Ecto,3.7773e+08
522.4,2,10,H,Ecto,9.30772e+06
522.4,2,100,H,Ecto,9.41008e+08
522.4,2,1000,H,Ecto,839561
522.4,2,100,H,Endo,2.78272e+09
522.4,2,1000,H,Endo,4.69877e+07
522.4,2,10,O,Ecto,941177
522.4,2,100,O,Ecto,1.95304e+09
522.4,2,1000,O,Ecto,4.77432e+06
522.4,2,100,O,Endo,8.623e+08
522.4,2,1000,O,Endo,4.15824e+07
522.4,2,10,C,Ecto,27.518
522.4,2,100,C,Ecto,5.1762e+07
522.4,2,1000,C,Ecto,4.99197e+08
2573.39,2,10,H,Ecto,1.5712e+06
2573.39,2,100,H,Ecto,1.50696e+08
2573.39,2,1000,H,Ecto,1.23957e+09
2573.39,2,100,H,Endo,2.32676e+08
2573.39,2,1000,H,Endo,4.36356e+10
2573.39,2,10000,H,Endo,1.67234e+07
2573.39,2,10,O,Ecto,3.11866e+06
2573.39,2,100,O,Ecto,1.67932e+08
2573.39,2,1000,O,Ecto,2.49362e+08
2573.39,2,100,O,Endo,1.53707e+08
2573.39,2,1000,O,Endo,4.37435e+10
2573.39,2,100,C,Ecto,1.6709e+08
2573.39,2,1000,C,Ecto,8.55619e+08
2573.39,2,10000,C,Ecto,2.12327e+08
26501.5,2,100,H,Ecto,4.32461e+06
26501.5,2,1000,H,Ecto,8.78517e+06
26501.5,2,10000,H,Ecto,3.68704e+06
26501.5,2,100,H,Endo,14246.9
26501.5,2,1000,H,Endo,1.24139e+09
26501.5,2,10000,H,Endo,1.49853e+08
26501.5,2,100000,H,Endo,1.1403e+06
26501.5,2,100,O,Ecto,8.36006e+06
26501.5,2,1000,O,Ecto,6.15801e+07
26501.5,2,10000,O,Ecto,6.90923e+06
26501.5,2,100,O,Endo,217261
26501.5,2,1000,O,Endo,1.13584e+10
26501.5,2,10000,O,Endo,720656
26501.5,2,100,C,Ecto,3.02676e+06
26501.5,2,1000,C,Ecto,7.32153e+09
26501.5,2,10000,C,Ecto,6.1225e+09
4774.79,2,10,H,Ecto,7.92794e+06
4774.79,2,100,H,Ecto,1.48754e+08
4774.79,2,1000,H,Ecto,1.95478e+08
4774.79,2,100,H,Endo,1.04006e+08
4774.79,2,1000,H,Endo,6.37181e+07
4774.79,2,10,O,Ecto,7.37366e+06
4774.79,2,100,O,Ecto,1.79833e+08
4774.79,2,1000,O,Ecto,7.83034e+07
4774.79,2,100,O,Endo,1.58432e+08
4774.79,2,1000,O,Endo,8.2371e+08
4774.79,2,10,C,Ecto,542.736
4774.79,2,100,C,Ecto,5.3022e+07
4774.79,2,1000,C,Ecto,1.42124e+08
8876.03,2,100,H,Ecto,5.93011e+06
8876.03,2,1000,H,Ecto,3.3489e+07
8876.03,2,10000,H,Ecto,230.464
8876.03,2,100,H,Endo,9.67048e+07
8876.03,2,1000,H,Endo,4.03308e+09
8876.03,2,10000,H,Endo,1.28658e+07
8876.03,2,10,O,Ecto,9398.48
8876.03,2,100,O,Ecto,7.74418e+06
8876.03,2,1000,O,Ecto,7.46639e+06
8876.03,2,10000,O,Ecto,14473.3
8876.03,2,100,O,Endo,1.05621e+08
8876.03,2,1000,O,Endo,2.94129e+09
8876.03,2,100,C,Ecto,7.00432e+06
8876.03,2,1000,C,Ecto,4.70272e+07
8876.03,2,10000,C,Ecto,1.62436e+08
478.098,2,10,H,Ecto,242984
478.098,2,100,H,Ecto,9.61333e+06
478.098,2,100,H,Endo,5.39689e+06
