Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
93898.5,1,1000,H,Ecto,6.46548
93898.5,1,10000,H,Ecto,2.18627e+07
93898.5,1,10000,H,Endo,8.12466e+07
93898.5,1,1000,O,Ecto,1234.61
93898.5,1,10000,O,Ecto,5.07379e+06
93898.5,1,10000,O,Endo,9.95966e+07
93898.5,1,1000,C,Ecto,1.64277e+08
93898.5,1,10000,C,Ecto,4.71196e+08
81987.1,2,1000,H,Ecto,15484.9
81987.1,2,10000,H,Ecto,240497
81987.1,2,1000,H,Endo,2.60964e+08
81987.1,2,10000,H,Endo,4.03838e+06
81987.1,2,1000,O,Ecto,112463
81987.1,2,10000,O,Ecto,4576.5
81987.1,2,1000,O,Endo,1.74775e+08
81987.1,2,10000,O,Endo,105877
81987.1,2,1000,C,Ecto,1.32973e+08
81987.1,2,10000,C,Ecto,2.82439e+08
81987.1,2,10000,C,Endo,22.2337
4895.17,2,100,H,Ecto,2.04784e+07
4895.17,2,1000,H,Ecto,6.94039e+07
4895.17,2,10000,H,Ecto,145506
4895.17,2,100,H,Endo,1.1986e+08
4895.17,2,1000,H,Endo,1.2207e+09
4895.17,2,10000,H,Endo,3.1464e+08
4895.17,2,100,O,Ecto,4.76928e+07
4895.17,2,1000,O,Ecto,3.41476e+06
4895.17,2,10000,O,Ecto,65345.1
4895.17,2,100,O,Endo,290849
4895.17,2,1000,O,Endo,9.38618e+07
4895.17,2,100,C,Ecto,6.39416e+06
4895.17,2,1000,C,Ecto,1.69064e+06
4895.17,2,10000,C,Ecto,2.14524e+07
2430.26,2,10,H,Ecto,6758.14
2430.26,2,100,H,Ecto,4.79468e+06
2430.26,2,1000,H,Ecto,1.41847e+06
2430.26,2,10000,H,Ecto,456.97
2430.26,2,100,H,Endo,1.61465e+07
2430.26,2,1000,H,Endo,6.52691e+07
2430.26,2,10000,H,Endo,1.2985e+07
2430.26,2,10,O,Ecto,3.4331e-05
2430.26,2,100,O,Ecto,5.80708e+06
2430.26,2,1000,O,Ecto,5.65713e+06
2430.26,2,10000,O,Ecto,71.7549
2430.26,2,100,O,Endo,1.0725e+07
2430.26,2,1000,O,Endo,1.30032e+07
2430.26,2,100,C,Ecto,895583
2430.26,2,1000,C,Ecto,2.38093e+07
2430.26,2,10000,C,Ecto,70960.8
491.969,2,10,H,Ecto,4811.16
491.969,2,100,H,Ecto,3865.39
491.969,2,1000,H,Ecto,136.366
491.969,2,100,H,Endo,999940
491.969,2,1000,H,Endo,3.98101e+08
491.969,2,10000,H,Endo,4416.98
491.969,2,10,O,Ecto,2.24787e-05
491.969,2,100,O,Ecto,257381
491.969,2,1000,O,Ecto,29118.7
491.969,2,100,O,Endo,648831
491.969,2,1000,O,Endo,419696
491.969,2,100,C,Ecto,939024
491.969,2,1000,C,Ecto,585232
2280.44,2,10,H,Ecto,4.10389e+06
2280.44,2,100,H,Ecto,1.91705e+06
2280.44,2,1000,H,Ecto,27057
2280.44,2,100,H,Endo,4.61649e+08
2280.44,2,1000,H,Endo,2.66625e+10
2280.44,2,10000,H,Endo,367419
2280.44,2,10,O,Ecto,0.0115987
2280.44,2,100,O,Ecto,1.29973e+08
2280.44,2,1000,O,Ecto,1.20769e+07
2280.44,2,100,O,Endo,5.21864e+08
2280.44,2,1000,O,Endo,3.48461e+08
2280.44,2,100,C,Ecto,2.36875e+08
2280.44,2,1000,C,Ecto,6.21854e+06
33170.5,2,100,H,Ecto,490.31
33170.5,2,1000,H,Ecto,7.18129e+07
33170.5,2,10000,H,Ecto,5.96579e+06
33170.5,2,1000,H,Endo,1.4028e+10
33170.5,2,10000,H,Endo,3.46025e+08
33170.5,2,100,O,Ecto,724261
33170.5,2,1000,O,Ecto,3.91069e+07
33170.5,2,10000,O,Ecto,524923
33170.5,2,100,O,Endo,0.00175727
33170.5,2,1000,O,Endo,1.86961e+09
33170.5,2,10000,O,Endo,50411.3
33170.5,2,100,C,Ecto,3371.11
33170.5,2,1000,C,Ecto,7.30058e+07
33170.5,2,10000,C,Ecto,5.24754e+09
9247.07,2,10,H,Ecto,361645
9247.07,2,100,H,Ecto,9.89003e+09
9247.07,2,1000,H,Ecto,1.78041e+09
9247.07,2,10000,H,Ecto,1.05957e+06
9247.07,2,100,H,Endo,1.18316e+10
9247.07,2,1000,H,Endo,2.69797e+10
9247.07,2,10000,H,Endo,8.11985e+09
9247.07,2,10,O,Ecto,0.00214602
9247.07,2,100,O,Ecto,5.14211e+09
9247.07,2,1000,O,Ecto,1.53667e+09
9247.07,2,10000,O,Ecto,2.33404e+06
9247.07,2,100,O,Endo,8.33382e+08
9247.07,2,1000,O,Endo,3.1903e+10
9247.07,2,100,C,Ecto,5.30677e+08
9247.07,2,1000,C,Ecto,2.59712e+10
9247.07,2,10000,C,Ecto,1.68292e+08
9334.16,2,10,H,Ecto,89886.1
9334.16,2,100,H,Ecto,89151.5
9334.16,2,1000,H,Ecto,44.5992
9334.16,2,100,H,Endo,365373
9334.16,2,1000,H,Endo,2.82728e+08
9334.16,2,10000,H,Endo,5262.18
9334.16,2,1,O,Ecto,99.6316
9334.16,2,10,O,Ecto,0.000216783
9334.16,2,100,O,Ecto,1.94932e+06
9334.16,2,1000,O,Ecto,70570.3
9334.16,2,100,O,Endo,1.0169e+06
9334.16,2,1000,O,Endo,1.49157e+06
9334.16,2,100,C,Ecto,7.9304e+06
9334.16,2,1000,C,Ecto,22579.9
458.707,2,1,H,Ecto,62902
458.707,2,10,H,Ecto,2.40368e+06
458.707,2,100,H,Ecto,6.36323e+07
458.707,2,1000,H,Endo,2.3293e+08
458.707,2,1,O,Ecto,4.35724e+06
458.707,2,10,O,Ecto,104.305
458.707,2,100,O,Ecto,700088
458.707,2,100,C,Ecto,5.58525e+07
31631.7,2,100,H,Ecto,4.49271e+07
31631.7,2,1000,H,Ecto,4.82638e+07
31631.7,2,10000,H,Ecto,64488.2
31631.7,2,100,H,Endo,1.10392e+08
31631.7,2,1000,H,Endo,6.07256e+08
31631.7,2,10000,H,Endo,4.88634e+07
31631.7,2,100,O,Ecto,4.416e+07
31631.7,2,1000,O,Ecto,3.57339e+06
31631.7,2,10000,O,Ecto,104020
31631.7,2,100,O,Endo,588951
31631.7,2,1000,O,Endo,8.72969e+07
31631.7,2,100,C,Ecto,4.21027e+06
31631.7,2,1000,C,Ecto,2.98343e+06
31631.7,2,10000,C,Ecto,8.55765e+06
2451.5,2,1,H,Ecto,1.24963e+07
2451.5,2,10,H,Ecto,273400
2451.5,2,100,H,Ecto,4.77116e+06
2451.5,2,1,O,Ecto,1.13023e+07
2451.5,2,10,O,Ecto,4861.56
2451.5,2,100,C,Ecto,816774
4850.06,2,10,H,Ecto,2.25275e+07
4850.06,2,100,H,Ecto,3.95691e+09
4850.06,2,1000,H,Ecto,1487.01
4850.06,2,100,H,Endo,2.56872e+07
4850.06,2,1000,H,Endo,8.78061e+10
4850.06,2,1,O,Ecto,11535.9
4850.06,2,10,O,Ecto,0.00242934
4850.06,2,100,O,Ecto,2.2245e+07
4850.06,2,1000,O,Ecto,89619.9
4850.06,2,100,O,Endo,1.77692e+07
4850.06,2,1000,O,Endo,4.70627e+07
4850.06,2,100,C,Ecto,8.11025e+08
