GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,492850,129293,-2.35147,0,0.5,2,0,4294967295,0,26,26,0
0,0,4843.4,341538,341538,110145,-2.71651,0,0.5,2,27137.8,25,1,26,26,0
0,0,47894.7,1.45505e+06,847383,77179.8,-2.30426,0,0.5,2,0,4294967295,0,26,26,0
0,0,43.006,2189.77,2189.77,47.7896,-2.24328,0,0.5,2,1011.97,6,1,26,7,19
0,0,313.296,4229.02,4229.02,708090,-2.46243,14,0.5,2,1597.61,20,1,11,6,5
0,0,36.416,461.154,461.154,3.62244e+07,-2.20265,14,0.5,2,0,18,1,11,4,7
0,0,306.04,10552.7,10552.7,994980,-2.50065,16,0.5,2,959.253,25,1,9,9,0
0,0,38.3906,1172.55,1172.55,1.77305e+08,-2.20756,16,0.5,2,0,21,1,9,5,4
0,0,1809.89,24818.6,19897.6,867975,-2.30151,17,0.5,2,0,4294967295,0,8,8,0
0,0,307.311,10394.7,1513.57,1.08628e+06,-2.50065,22,0.5,2,0,4294967295,0,3,3,0
0,0,317.133,4021.68,1504.78,1.81409e+07,-2.46243,22,0.5,2,0,4294967295,0,3,3,0
0,0,40.9319,1273.38,210.955,1.07036e+08,-2.20756,23,0.5,2,0,4294967295,0,2,2,0
0,0,43.5764,2409.2,108.213,9609.4,-2.24328,24,0.5,2,0,4294967295,0,1,1,0
0,0,317.897,4283.35,576.61,1.06974e+07,-2.46243,24,0.5,2,0,4294967295,0,1,1,0
0,0,36.416,461.154,87.4935,2.7657e+08,-2.20265,24,0.5,2,0,4294967295,0,1,1,0
0,0,35.6458,469.104,35.6458,5.17381e+09,-2.20265,25,0.5,2,0,4294967295,0,0,0,0
0,2,1012.88,81987.1,56322.6,66217.6,-2.24328,0,0.5,2.01169,0,4294967295,0,26,26,0
0,2,133.895,4895.17,4895.17,498762,-2.20756,0,0.5,2.67016,2022.16,12,1,26,13,13
0,2,1994.95,32453.1,32453.1,51991.1,-2.30151,0,0.5,2.17785,11485.3,16,1,26,17,9
