Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	795	159	1	0	2500	0	2500
0	1	0	828	158	0.993711	0	2500	0	2500
0	2	0	804	155	0.974843	0	2500	0	2500
0	3	0	785	151	0.949686	0	2500	0	2500
0	4	0	825	149	0.937107	0	2500	0	2500
0	5	0	862	145	0.91195	0	2500	0	2500
0	6	0	803	142	0.893082	0	2500	0	2500
0	7	0	728	143	0.899371	0	2500	0	2500
0	8	0	706	139	0.874214	0	2500	0	2500
0	9	0	708	143	0.899371	0	2500	0	2500
0	10	0	714	133	0.836478	0	2500	0	2500
0	11	0	713	131	0.823899	0	2500	0	2500
