Rep	Year	RepSeason	x	y	Species	NInd
0	0	0	90	70	0	5
0	1	0	90	70	0	10
0	2	0	90	70	0	18
0	3	0	90	70	0	15
0	3	0	90	69	0	1
0	4	0	90	70	0	12
0	4	0	90	69	0	2
0	5	0	90	70	0	8
0	5	0	90	69	0	0
0	5	0	92	68	0	1
0	6	0	90	70	0	9
0	6	0	90	69	0	0
0	6	0	92	68	0	2
0	7	0	90	70	0	8
0	7	0	90	69	0	0
0	7	0	92	68	0	6
0	8	0	90	70	0	9
0	8	0	90	69	0	0
0	8	0	92	68	0	3
0	9	0	90	71	0	1
0	9	0	90	70	0	10
0	9	0	90	69	0	0
0	9	0	92	68	0	1
0	10	0	90	71	0	2
0	10	0	89	70	0	1
0	10	0	90	70	0	13
0	10	0	90	69	0	0
0	10	0	92	68	0	4
0	11	0	90	71	0	3
0	11	0	89	70	0	4
0	11	0	90	70	0	17
0	11	0	91	70	0	1
0	11	0	90	69	0	0
0	11	0	92	68	0	3
0	11	0	88	67	0	1
0	11	0	94	67	0	1
0	12	0	90	71	0	4
0	12	0	89	70	0	7
0	12	0	90	70	0	11
0	12	0	91	70	0	0
0	12	0	90	69	0	1
0	12	0	92	69	0	1
0	12	0	88	68	0	1
0	12	0	92	68	0	6
0	12	0	88	67	0	3
0	12	0	94	67	0	1
0	13	0	90	71	0	3
0	13	0	91	71	0	1
0	13	0	89	70	0	11
0	13	0	90	70	0	8
0	13	0	91	70	0	0
0	13	0	90	69	0	0
0	13	0	92	69	0	2
0	13	0	88	68	0	2
0	13	0	92	68	0	6
0	13	0	88	67	0	3
0	13	0	94	67	0	1
0	14	0	90	71	0	5
0	14	0	91	71	0	1
0	14	0	89	70	0	11
0	14	0	90	70	0	8
0	14	0	91	70	0	0
0	14	0	92	70	0	1
0	14	0	90	69	0	0
0	14	0	92	69	0	4
0	14	0	95	69	0	1
0	14	0	88	68	0	1
0	14	0	91	68	0	1
0	14	0	92	68	0	4
0	14	0	93	68	0	1
0	14	0	88	67	0	1
0	14	0	94	67	0	4
0	14	0	93	66	0	1
0	15	0	90	71	0	8
0	15	0	91	71	0	3
0	15	0	89	70	0	8
0	15	0	90	70	0	5
0	15	0	91	70	0	0
0	15	0	92	70	0	1
0	15	0	88	69	0	1
0	15	0	90	69	0	0
0	15	0	92	69	0	3
0	15	0	95	69	0	0
0	15	0	88	68	0	2
0	15	0	91	68	0	1
0	15	0	92	68	0	4
0	15	0	93	68	0	0
0	15	0	88	67	0	2
0	15	0	94	67	0	7
0	15	0	93	66	0	1
0	16	0	90	71	0	9
0	16	0	91	71	0	6
0	16	0	93	71	0	1
0	16	0	89	70	0	16
0	16	0	90	70	0	7
0	16	0	91	70	0	0
0	16	0	92	70	0	2
0	16	0	93	70	0	1
0	16	0	88	69	0	2
0	16	0	90	69	0	0
0	16	0	92	69	0	2
0	16	0	95	69	0	0
0	16	0	88	68	0	4
0	16	0	91	68	0	1
0	16	0	92	68	0	9
0	16	0	93	68	0	0
0	16	0	88	67	0	1
0	16	0	94	67	0	4
0	16	0	93	66	0	1
0	16	0	93	65	0	1
0	17	0	90	71	0	7
0	17	0	91	71	0	7
0	17	0	92	71	0	1
0	17	0	93	71	0	0
0	17	0	94	71	0	1
0	17	0	89	70	0	12
0	17	0	90	70	0	11
0	17	0	91	70	0	0
0	17	0	92	70	0	3
0	17	0	93	70	0	1
0	17	0	88	69	0	3
0	17	0	90	69	0	0
0	17	0	92	69	0	3
0	17	0	95	69	0	0
0	17	0	88	68	0	2
0	17	0	91	68	0	1
0	17	0	92	68	0	14
0	17	0	93	68	0	0
0	17	0	88	67	0	2
0	17	0	94	67	0	6
0	17	0	93	66	0	2
0	17	0	91	65	0	1
0	17	0	93	65	0	1
0	17	0	91	60	0	1
0	18	0	90	71	0	4
0	18	0	91	71	0	4
0	18	0	92	71	0	2
0	18	0	93	71	0	0
0	18	0	94	71	0	0
0	18	0	89	70	0	10
0	18	0	90	70	0	12
0	18	0	91	70	0	0
0	18	0	92	70	0	0
0	18	0	93	70	0	1
0	18	0	88	69	0	7
0	18	0	89	69	0	1
0	18	0	90	69	0	1
0	18	0	92	69	0	1
0	18	0	95	69	0	0
0	18	0	88	68	0	6
0	18	0	91	68	0	3
0	18	0	92	68	0	13
0	18	0	93	68	0	0
0	18	0	94	68	0	1
0	18	0	88	67	0	5
0	18	0	94	67	0	4
0	18	0	93	66	0	5
0	18	0	91	65	0	1
0	18	0	93	65	0	1
0	18	0	88	64	0	1
0	18	0	91	60	0	1
0	18	0	92	60	0	1
0	19	0	90	71	0	3
0	19	0	91	71	0	5
0	19	0	92	71	0	2
0	19	0	93	71	0	0
0	19	0	94	71	0	0
0	19	0	89	70	0	10
0	19	0	90	70	0	17
0	19	0	91	70	0	0
0	19	0	92	70	0	0
0	19	0	93	70	0	2
0	19	0	88	69	0	10
0	19	0	89	69	0	1
0	19	0	90	69	0	2
0	19	0	92	69	0	1
0	19	0	95	69	0	0
0	19	0	87	68	0	1
0	19	0	88	68	0	7
0	19	0	91	68	0	4
0	19	0	92	68	0	9
0	19	0	93	68	0	0
0	19	0	94	68	0	3
0	19	0	99	68	0	1
0	19	0	88	67	0	4
0	19	0	90	67	0	1
0	19	0	94	67	0	5
0	19	0	93	66	0	9
0	19	0	91	65	0	3
0	19	0	93	65	0	0
0	19	0	88	64	0	1
0	19	0	90	63	0	1
0	19	0	91	60	0	1
0	19	0	92	60	0	1
0	20	0	90	71	0	6
0	20	0	91	71	0	4
0	20	0	92	71	0	2
0	20	0	93	71	0	0
