Rep	Year	RepSeason	x	y	Species	NInd
0	0	0	90	70	0	5
0	1	0	90	70	0	10
0	2	0	90	70	0	18
0	3	0	90	70	0	15
0	4	0	91	71	0	1
0	4	0	90	70	0	14
0	5	0	91	71	0	0
0	5	0	90	70	0	12
0	6	0	91	71	0	0
0	6	0	90	70	0	6
0	7	0	91	71	0	0
0	7	0	90	70	0	4
0	8	0	91	71	0	0
0	8	0	90	70	0	2
0	9	0	91	71	0	0
0	9	0	90	70	0	2
0	10	0	91	71	0	0
0	10	0	90	70	0	3
0	11	0	91	71	0	0
0	11	0	90	70	0	2
0	12	0	91	71	0	0
0	12	0	90	70	0	1
0	13	0	91	71	0	0
0	13	0	90	70	0	2
0	14	0	91	71	0	0
0	14	0	90	70	0	3
0	15	0	90	71	0	1
0	15	0	91	71	0	0
0	15	0	89	70	0	1
0	15	0	90	70	0	3
0	16	0	90	71	0	1
0	16	0	91	71	0	0
0	16	0	89	70	0	2
0	16	0	90	70	0	3
0	17	0	90	71	0	0
0	17	0	91	71	0	0
0	17	0	89	70	0	5
0	17	0	90	70	0	1
0	17	0	91	69	0	1
0	18	0	90	71	0	0
0	18	0	91	71	0	0
0	18	0	89	70	0	7
0	18	0	90	70	0	0
0	18	0	91	69	0	1
0	19	0	90	71	0	0
0	19	0	91	71	0	0
0	19	0	89	70	0	8
0	19	0	90	70	0	1
0	19	0	88	69	0	1
0	19	0	91	69	0	1
0	20	0	90	71	0	0
0	20	0	91	71	0	0
0	20	0	89	70	0	7
0	20	0	90	70	0	1
0	20	0	88	69	0	1
0	20	0	91	69	0	5
0	21	0	90	71	0	0
0	21	0	91	71	0	0
0	21	0	93	71	0	2
0	21	0	89	70	0	12
0	21	0	90	70	0	2
0	21	0	88	69	0	2
0	21	0	91	69	0	5
0	22	0	90	71	0	0
0	22	0	91	71	0	0
0	22	0	93	71	0	5
0	22	0	89	70	0	6
0	22	0	90	70	0	4
0	22	0	88	69	0	4
0	22	0	91	69	0	5
0	23	0	90	71	0	0
0	23	0	91	71	0	0
0	23	0	93	71	0	7
0	23	0	89	70	0	2
0	23	0	90	70	0	4
0	23	0	88	69	0	2
0	23	0	91	69	0	7
0	23	0	90	68	0	1
0	23	0	91	68	0	1
0	23	0	90	62	0	1
0	24	0	90	71	0	1
0	24	0	91	71	0	0
0	24	0	93	71	0	3
0	24	0	89	70	0	3
0	24	0	90	70	0	6
0	24	0	88	69	0	3
0	24	0	91	69	0	8
0	24	0	90	68	0	1
0	24	0	91	68	0	2
0	24	0	90	62	0	2
0	25	0	90	71	0	1
0	25	0	91	71	0	0
0	25	0	93	71	0	2
0	25	0	89	70	0	5
0	25	0	90	70	0	8
0	25	0	88	69	0	2
0	25	0	91	69	0	3
0	25	0	90	68	0	1
0	25	0	91	68	0	3
0	25	0	93	68	0	1
0	25	0	90	62	0	1
0	25	0	91	61	0	1
0	26	0	90	71	0	1
0	26	0	91	71	0	0
0	26	0	93	71	0	0
0	26	0	89	70	0	8
0	26	0	90	70	0	5
0	26	0	88	69	0	3
0	26	0	91	69	0	4
0	26	0	90	68	0	2
0	26	0	91	68	0	3
0	26	0	93	68	0	0
0	26	0	90	62	0	3
0	26	0	91	61	0	0
0	27	0	90	71	0	2
0	27	0	91	71	0	0
0	27	0	93	71	0	0
0	27	0	89	70	0	8
0	27	0	90	70	0	0
0	27	0	92	70	0	1
0	27	0	88	69	0	3
0	27	0	91	69	0	9
0	27	0	90	68	0	3
0	27	0	91	68	0	2
0	27	0	93	68	0	0
0	27	0	90	62	0	5
0	27	0	91	61	0	0
0	28	0	90	71	0	4
0	28	0	91	71	0	0
0	28	0	93	71	0	0
0	28	0	89	70	0	16
0	28	0	90	70	0	0
0	28	0	92	70	0	1
0	28	0	88	69	0	4
0	28	0	89	69	0	1
0	28	0	91	69	0	10
0	28	0	90	68	0	10
0	28	0	91	68	0	1
0	28	0	93	68	0	0
0	28	0	89	65	0	1
0	28	0	90	62	0	6
0	28	0	91	61	0	0
0	29	0	90	71	0	4
0	29	0	91	71	0	0
0	29	0	93	71	0	0
0	29	0	89	70	0	11
0	29	0	90	70	0	0
0	29	0	92	70	0	1
0	29	0	88	69	0	7
0	29	0	89	69	0	0
0	29	0	91	69	0	10
0	29	0	90	68	0	6
0	29	0	91	68	0	4
0	29	0	93	68	0	0
0	29	0	89	67	0	1
0	29	0	97	66	0	1
0	29	0	89	65	0	2
0	29	0	90	62	0	5
0	29	0	91	61	0	0
0	30	0	90	71	0	4
0	30	0	91	71	0	0
0	30	0	93	71	0	0
0	30	0	89	70	0	9
0	30	0	90	70	0	0
0	30	0	92	70	0	3
0	30	0	88	69	0	8
0	30	0	89	69	0	0
0	30	0	91	69	0	10
0	30	0	90	68	0	5
0	30	0	91	68	0	6
0	30	0	93	68	0	0
0	30	0	89	67	0	1
0	30	0	97	66	0	1
0	30	0	89	65	0	6
0	30	0	93	65	0	1
0	30	0	90	62	0	2
0	30	0	91	61	0	0
0	31	0	90	71	0	0
0	31	0	91	71	0	1
0	31	0	93	71	0	0
0	31	0	89	70	0	5
0	31	0	90	70	0	0
0	31	0	92	70	0	6
0	31	0	88	69	0	10
0	31	0	89	69	0	1
0	31	0	91	69	0	5
0	31	0	90	68	0	8
0	31	0	91	68	0	5
0	31	0	93	68	0	0
0	31	0	89	67	0	2
0	31	0	97	66	0	2
0	31	0	89	65	0	5
0	31	0	93	65	0	0
0	31	0	90	62	0	0
0	31	0	91	61	0	0
0	32	0	90	71	0	0
0	32	0	91	71	0	1
0	32	0	93	71	0	0
