Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	15810	3162	1	0	18000	300	8300
0	1	0	18628	3153	0.997154	0	18000	300	8300
0	2	0	20879	3128	0.990187	0	18000	300	8300
0	3	0	21955	3120	0.987654	0	18000	300	8300
0	4	0	22865	3103	0.982273	0	18000	300	8300
0	5	0	23710	3098	0.981001	0	18000	300	8300
0	6	0	24222	3089	0.978771	0	18000	300	8300
0	7	0	24660	3091	0.978474	0	18000	300	8300
0	8	0	24691	3088	0.97598	0	18000	300	8300
0	9	0	24926	3096	0.979127	0	18000	300	8300
0	10	0	24889	3105	0.981043	0	18000	300	8300
0	11	0	24846	3112	0.983565	0	18000	300	8300
0	12	0	25151	3111	0.983249	0	18000	300	8300
0	13	0	25169	3095	0.979121	0	18000	300	8300
0	14	0	25209	3098	0.98038	0	18000	300	8300
0	15	0	25187	3094	0.979424	0	18000	300	8300
0	16	0	25416	3093	0.979417	0	18000	300	8300
0	17	0	25627	3103	0.982895	0	18000	300	8300
0	18	0	25642	3094	0.980044	0	18000	300	8300
0	19	0	25577	3095	0.980051	0	18000	300	8300
0	20	0	25444	3091	0.978165	0	18000	300	8300
0	21	0	25476	3088	0.977525	0	18000	300	8300
0	22	0	25499	3092	0.978791	0	18000	300	8300
0	23	0	25813	3086	0.977201	0	18000	300	8300
0	24	0	25629	3088	0.977834	0	18000	300	8300
0	25	0	25642	3091	0.979715	0	18000	300	8300
0	26	0	25359	3095	0.980983	0	18000	300	8300
0	27	0	25489	3084	0.977496	0	18000	300	8300
0	28	0	25412	3083	0.977799	0	18000	300	8300
0	29	0	25707	3085	0.978123	0	18000	300	8300
0	30	0	25513	3083	0.97873	0	18000	300	8300
0	31	0	25390	3081	0.978717	0	18000	300	8300
0	32	0	25424	3081	0.979028	0	18000	300	8300
0	33	0	25213	3080	0.979644	0	18000	300	8300
0	34	0	25186	3059	0.97638	0	18000	300	8300
0	35	0	24865	3049	0.97568	0	18000	300	8300
0	36	0	24786	3045	0.976274	0	18000	300	8300
0	37	0	24723	3047	0.97817	0	18000	300	8300
0	38	0	24778	3041	0.979388	0	18000	300	8300
0	39	0	24720	3027	0.979612	0	18000	300	8300
0	40	0	24409	3021	0.979572	0	18000	300	8300
0	41	0	24436	3008	0.978848	0	18000	300	8300
0	42	0	24281	3004	0.980098	0	18000	300	8300
0	43	0	24173	2994	0.979392	0	18000	300	8300
0	44	0	24285	2985	0.978368	0	18000	300	8300
0	45	0	24380	2973	0.975714	0	18000	300	8300
0	46	0	24086	2982	0.980599	0	18000	300	8300
0	47	0	23977	2973	0.980541	0	18000	300	8300
0	48	0	24163	2971	0.980852	0	18000	300	8300
0	49	0	24169	2973	0.981512	0	18000	300	8300
0	50	0	24456	2969	0.981163	0	18000	300	8300
0	51	0	24228	2953	0.977491	0	18000	300	8300
0	52	0	24209	2948	0.977454	0	18000	300	8300
0	53	0	23883	2945	0.978405	0	18000	300	8300
0	54	0	23685	2942	0.978384	0	18000	300	8300
0	55	0	23875	2931	0.977	0	18000	300	8300
0	56	0	23724	2926	0.977941	0	18000	300	8300
0	57	0	23538	2905	0.974832	0	18000	300	8300
0	58	0	23440	2894	0.975067	0	18000	300	8300
0	59	0	23374	2889	0.975684	0	18000	300	8300
0	60	0	23544	2875	0.9759	0	18000	300	8300
0	61	0	23279	2868	0.977172	0	18000	300	8300
0	62	0	23104	2857	0.976085	0	18000	300	8300
0	63	0	22860	2846	0.976329	0	18000	300	8300
0	64	0	23112	2823	0.975466	0	18000	300	8300
0	65	0	22752	2810	0.975694	0	18000	300	8300
0	66	0	22663	2796	0.976598	0	18000	300	8300
0	67	0	22413	2787	0.978238	0	18000	300	8300
0	68	0	22199	2768	0.976367	0	18000	300	8300
0	69	0	21811	2761	0.976999	0	18000	300	8300
0	70	0	21844	2750	0.975177	0	18000	300	8300
0	71	0	21656	2753	0.979367	0	18000	300	8300
0	72	0	21797	2748	0.980728	0	18000	300	8300
0	73	0	21795	2725	0.977754	0	18000	300	8300
0	74	0	22039	2720	0.979122	0	18000	300	8300
0	75	0	21782	2699	0.973314	0	18000	300	8300
0	76	0	21663	2701	0.9765	0	18000	300	8300
0	77	0	21651	2703	0.978639	0	18000	300	8300
0	78	0	21630	2701	0.979688	0	18000	300	8300
0	79	0	21768	2692	0.979265	0	18000	300	8300
0	80	0	21694	2687	0.979227	0	18000	300	8300
0	81	0	21515	2678	0.977016	0	18000	300	8300
0	82	0	21308	2661	0.972943	0	18000	300	8300
0	83	0	21300	2661	0.97544	0	18000	300	8300
0	84	0	21501	2645	0.971355	0	18000	300	8300
0	85	0	21491	2635	0.969106	0	18000	300	8300
0	86	0	21481	2635	0.970534	0	18000	300	8300
0	87	0	21650	2652	0.977156	0	18000	300	8300
0	88	0	21383	2647	0.977113	0	18000	300	8300
0	89	0	21190	2633	0.971945	0	18000	300	8300
0	90	0	21313	2628	0.970458	0	18000	300	8300
0	91	0	20954	2625	0.970784	0	18000	300	8300
0	92	0	20850	2631	0.973723	0	18000	300	8300
0	93	0	20808	2621	0.9711	0	18000	300	8300
0	94	0	20783	2621	0.971821	0	18000	300	8300
0	95	0	20555	2614	0.971025	0	18000	300	8300
0	96	0	20613	2596	0.966493	0	18000	300	8300
0	97	0	20738	2608	0.972046	0	18000	300	8300
0	98	0	20746	2609	0.973144	0	18000	300	8300
0	99	0	20877	2605	0.974925	0	18000	300	8300
0	100	0	20910	2587	0.968914	0	18000	300	8300
0	101	0	20913	2585	0.971439	0	18000	300	8300
0	102	0	20760	2589	0.975509	0	18000	300	8300
0	103	0	20601	2578	0.974669	0	18000	300	8300
0	104	0	20487	2576	0.975388	0	18000	300	8300
0	105	0	20371	2575	0.976859	0	18000	300	8300
0	106	0	20118	2563	0.974525	0	18000	300	8300
0	107	0	20056	2552	0.97219	0	18000	300	8300
0	108	0	20170	2544	0.970622	0	18000	300	8300
0	109	0	20200	2531	0.966769	0	18000	300	8300
0	110	0	20090	2528	0.968211	0	18000	300	8300
0	111	0	20117	2522	0.968882	0	18000	300	8300
0	112	0	19950	2508	0.965358	0	18000	300	8300
0	113	0	20110	2500	0.963763	0	18000	300	8300
0	114	0	19925	2492	0.961791	0	18000	300	8300
0	115	0	19830	2493	0.963292	0	18000	300	8300
0	116	0	19973	2476	0.95969	0	18000	300	8300
0	117	0	19533	2469	0.957719	0	18000	300	8300
0	118	0	19237	2464	0.957265	0	18000	300	8300
0	119	0	19405	2460	0.957944	0	18000	300	8300
0	120	0	19426	2468	0.961808	0	18000	300	8300
0	121	0	19361	2460	0.959813	0	18000	300	8300
0	122	0	19422	2454	0.959343	0	18000	300	8300
0	123	0	19558	2457	0.961644	0	18000	300	8300
0	124	0	19554	2444	0.959184	0	18000	300	8300
0	125	0	19544	2448	0.962643	0	18000	300	8300
0	126	0	19581	2457	0.966562	0	18000	300	8300
0	127	0	19519	2447	0.966048	0	18000	300	8300
0	128	0	19578	2439	0.965558	0	18000	300	8300
0	129	0	19529	2428	0.964257	0	18000	300	8300
0	130	0	19185	2424	0.965737	0	18000	300	8300
0	131	0	19070	2416	0.962933	0	18000	300	8300
0	132	0	18985	2408	0.96243	0	18000	300	8300
0	133	0	18677	2405	0.963156	0	18000	300	8300
0	134	0	18527	2405	0.965476	0	18000	300	8300
0	135	0	18562	2402	0.966211	0	18000	300	8300
0	136	0	18770	2390	0.963321	0	18000	300	8300
0	137	0	18742	2381	0.960856	0	18000	300	8300
0	138	0	18764	2381	0.96202	0	18000	300	8300
0	139	0	18797	2381	0.963968	0	18000	300	8300
0	140	0	18891	2381	0.963968	0	18000	300	8300
