Rep	Year	RepSeason	x	y	Species	NInd
0	0	0	7	82	0	5
0	0	0	8	82	0	5
0	0	0	5	81	0	5
0	0	0	6	81	0	5
0	0	0	7	81	0	5
0	0	0	5	80	0	5
0	0	0	6	80	0	5
0	0	0	7	80	0	5
0	0	0	6	79	0	5
0	0	0	7	79	0	5
0	0	0	8	79	0	5
0	0	0	1	78	0	5
0	0	0	6	78	0	5
0	0	0	7	78	0	5
0	0	0	8	78	0	5
0	0	0	9	78	0	5
0	0	0	0	77	0	5
0	0	0	1	77	0	5
0	0	0	2	77	0	5
0	0	0	3	77	0	5
0	0	0	4	77	0	5
0	0	0	5	77	0	5
0	0	0	6	77	0	5
0	0	0	7	77	0	5
0	0	0	8	77	0	5
0	0	0	9	77	0	5
0	0	0	10	77	0	5
0	0	0	11	77	0	5
0	0	0	12	77	0	5
0	0	0	13	77	0	5
0	0	0	0	76	0	5
0	0	0	1	76	0	5
0	0	0	2	76	0	5
0	0	0	3	76	0	5
0	0	0	4	76	0	5
0	0	0	5	76	0	5
0	0	0	6	76	0	5
0	0	0	7	76	0	5
0	0	0	8	76	0	5
0	0	0	9	76	0	5
0	0	0	10	76	0	5
0	0	0	11	76	0	5
0	0	0	12	76	0	5
0	0	0	13	76	0	5
0	0	0	14	76	0	5
0	0	0	15	76	0	5
0	0	0	179	76	0	5
0	0	0	0	75	0	5
0	0	0	1	75	0	5
0	0	0	2	75	0	5
0	0	0	3	75	0	5
0	0	0	4	75	0	5
0	0	0	5	75	0	5
0	0	0	6	75	0	5
0	0	0	7	75	0	5
0	0	0	8	75	0	5
0	0	0	9	75	0	5
0	0	0	10	75	0	5
0	0	0	11	75	0	5
0	0	0	12	75	0	5
0	0	0	13	75	0	5
0	0	0	14	75	0	5
0	0	0	15	75	0	5
0	0	0	16	75	0	5
0	0	0	17	75	0	5
0	0	0	18	75	0	5
0	0	0	172	75	0	5
0	0	0	173	75	0	5
0	0	0	174	75	0	5
0	0	0	177	75	0	5
0	0	0	178	75	0	5
0	0	0	179	75	0	5
0	0	0	0	74	0	5
0	0	0	1	74	0	5
0	0	0	2	74	0	5
0	0	0	3	74	0	5
0	0	0	4	74	0	5
0	0	0	5	74	0	5
0	0	0	6	74	0	5
0	0	0	7	74	0	5
0	0	0	8	74	0	5
0	0	0	9	74	0	5
0	0	0	10	74	0	5
0	0	0	11	74	0	5
0	0	0	12	74	0	5
0	0	0	13	74	0	5
0	0	0	14	74	0	5
0	0	0	15	74	0	5
0	0	0	16	74	0	5
0	0	0	17	74	0	5
0	0	0	18	74	0	5
0	0	0	19	74	0	5
0	0	0	172	74	0	5
0	0	0	173	74	0	5
0	0	0	174	74	0	5
0	0	0	175	74	0	5
0	0	0	176	74	0	5
0	0	0	177	74	0	5
0	0	0	178	74	0	5
0	0	0	179	74	0	5
0	0	0	0	73	0	5
0	0	0	1	73	0	5
0	0	0	2	73	0	5
0	0	0	3	73	0	5
0	0	0	4	73	0	5
0	0	0	5	73	0	5
0	0	0	6	73	0	5
0	0	0	7	73	0	5
0	0	0	8	73	0	5
0	0	0	9	73	0	5
0	0	0	10	73	0	5
0	0	0	11	73	0	5
0	0	0	12	73	0	5
0	0	0	13	73	0	5
0	0	0	14	73	0	5
0	0	0	15	73	0	5
0	0	0	16	73	0	5
0	0	0	17	73	0	5
0	0	0	18	73	0	5
0	0	0	19	73	0	5
0	0	0	45	73	0	5
0	0	0	171	73	0	5
0	0	0	172	73	0	5
0	0	0	173	73	0	5
0	0	0	174	73	0	5
0	0	0	175	73	0	5
0	0	0	176	73	0	5
0	0	0	177	73	0	5
0	0	0	178	73	0	5
0	0	0	179	73	0	5
0	0	0	0	72	0	5
0	0	0	1	72	0	5
0	0	0	2	72	0	5
0	0	0	3	72	0	5
0	0	0	4	72	0	5
0	0	0	5	72	0	5
0	0	0	6	72	0	5
0	0	0	7	72	0	5
0	0	0	8	72	0	5
0	0	0	9	72	0	5
0	0	0	10	72	0	5
0	0	0	11	72	0	5
0	0	0	12	72	0	5
0	0	0	13	72	0	5
0	0	0	14	72	0	5
0	0	0	15	72	0	5
0	0	0	16	72	0	5
0	0	0	17	72	0	5
0	0	0	18	72	0	5
0	0	0	19	72	0	5
0	0	0	20	72	0	5
0	0	0	23	72	0	5
0	0	0	45	72	0	5
0	0	0	46	72	0	5
0	0	0	47	72	0	5
0	0	0	48	72	0	5
0	0	0	49	72	0	5
0	0	0	170	72	0	5
0	0	0	171	72	0	5
0	0	0	172	72	0	5
0	0	0	173	72	0	5
0	0	0	174	72	0	5
0	0	0	175	72	0	5
0	0	0	176	72	0	5
0	0	0	177	72	0	5
0	0	0	178	72	0	5
0	0	0	179	72	0	5
0	0	0	0	71	0	5
0	0	0	1	71	0	5
0	0	0	2	71	0	5
0	0	0	3	71	0	5
0	0	0	4	71	0	5
0	0	0	5	71	0	5
0	0	0	6	71	0	5
0	0	0	7	71	0	5
0	0	0	8	71	0	5
0	0	0	9	71	0	5
0	0	0	10	71	0	5
0	0	0	11	71	0	5
0	0	0	12	71	0	5
0	0	0	13	71	0	5
0	0	0	14	71	0	5
0	0	0	15	71	0	5
0	0	0	16	71	0	5
0	0	0	17	71	0	5
0	0	0	18	71	0	5
0	0	0	19	71	0	5
0	0	0	20	71	0	5
0	0	0	21	71	0	5
0	0	0	22	71	0	5
0	0	0	23	71	0	5
0	0	0	40	71	0	5
0	0	0	41	71	0	5
0	0	0	42	71	0	5
0	0	0	43	71	0	5
0	0	0	46	71	0	5
0	0	0	47	71	0	5
0	0	0	48	71	0	5
0	0	0	49	71	0	5
0	0	0	50	71	0	5
0	0	0	83	71	0	5
0	0	0	84	71	0	5
0	0	0	90	71	0	5
0	0	0	168	71	0	5
0	0	0	169	71	0	5
0	0	0	170	71	0	5
0	0	0	171	71	0	5
0	0	0	172	71	0	5
0	0	0	173	71	0	5
0	0	0	174	71	0	5
0	0	0	175	71	0	5
0	0	0	176	71	0	5
0	0	0	177	71	0	5
0	0	0	178	71	0	5
0	0	0	179	71	0	5
0	0	0	0	70	0	5
0	0	0	1	70	0	5
0	0	0	2	70	0	5
0	0	0	3	70	0	5
0	0	0	4	70	0	5
0	0	0	5	70	0	5
0	0	0	6	70	0	5
0	0	0	7	70	0	5
0	0	0	8	70	0	5
0	0	0	9	70	0	5
0	0	0	10	70	0	5
0	0	0	11	70	0	5
0	0	0	12	70	0	5
0	0	0	13	70	0	5
0	0	0	14	70	0	5
0	0	0	15	70	0	5
0	0	0	16	70	0	5
0	0	0	17	70	0	5
