Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,18|10|5|2|0|1|,31.0|52.733900000000006|92.0|120.991|nan|174.194|,0.0|4.894356493963225|0.0|2.3349999999999937|nan|0.0|,31.0|53.0|92.0|123.0|147.0|184.0|,18|10|5|2|0|1|,31.0|52.733900000000006|92.0|120.991|nan|174.194|,0.0|4.894356493963225|0.0|2.3349999999999937|nan|0.0|,0|18|10|5|2|1|,0|0|0|0|0|0|,54|18|10|5|2|1|,0|0|0|0|0|0|,54|18|10|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,54|18|10|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,54|18|10|5|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,54|18|10|5|2|0|,31.0|31.0|52.733900000000006|92.0|120.991|nan|,0.0|0.0|4.894356493963225|0.0|2.3349999999999937|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,54|18|10|5|2|0|,31.0|31.0|52.733900000000006|92.0|120.991|nan|,0.0|0.0|4.894356493963225|0.0|2.3349999999999937|nan|,0|54|18|10|5|2|,0|0|0|0|0|0|,65|54|18|10|5|2|,0|19|0|4|0|0|,65|35|18|6|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,65|35|18|6|5|2|,0|0|0|0|0|0|,0|0|0|0|0|2|,65|35|18|6|5|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,65|35|18|6|5|0|,31.0|31.0|31.0|54.396166666666666|92.0|nan|,0.0|0.0|0.0|4.538662042814919|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,65|35|18|6|5|0|,31.0|31.0|31.0|54.396166666666666|92.0|nan|,0.0|0.0|0.0|4.538662042814919|0.0|nan|,0|65|35|18|6|5|,0|0|0|0|0|0|,157|65|35|18|6|5|,98|27|21|11|1|4|,56|38|14|7|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,56|38|14|7|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,56|38|14|7|5|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,56|38|14|7|5|0|,31.0|31.0|31.0|31.0|54.6616|nan|,0.0|0.0|0.0|0.0|4.929159628171926|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,56|38|14|7|5|0|,31.0|31.0|31.0|31.0|54.6616|nan|,0.0|0.0|0.0|0.0|4.929159628171926|nan|,0|56|38|14|7|5|,0|0|0|0|0|0|,188|56|38|14|7|5|,101|27|23|7|5|4|,88|29|15|7|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,88|29|15|7|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,88|29|15|7|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,88|29|15|7|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,88|29|15|7|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|88|29|15|7|2|,0|0|0|0|0|0|,115|88|29|15|7|2|,66|61|14|7|2|0|,49|27|15|8|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|27|15|8|5|2|,0|0|0|0|0|0|,0|0|0|1|0|0|,49|27|15|7|5|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,49|27|15|7|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,49|27|15|7|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|49|27|15|7|5|,0|0|0|0|0|0|,175|49|27|15|7|5|,109|24|7|6|4|4|,66|25|20|9|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,66|25|20|9|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,66|25|20|9|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,66|25|20|9|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,66|25|20|9|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|66|25|20|9|3|,0|0|0|0|0|0|,170|66|25|20|9|3|,98|31|13|15|5|0|,73|35|12|5|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,73|35|12|5|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,73|35|12|5|4|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,73|35|12|5|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,73|35|12|5|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|73|35|12|5|4|,0|0|0|0|0|0|,215|73|35|12|5|4|,147|42|19|1|0|2|,66|31|16|11|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,66|31|16|11|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,66|31|16|11|5|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,66|31|16|11|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,66|31|16|11|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|66|31|16|11|5|,0|0|0|0|0|0|,193|66|31|16|11|5|,122|33|14|9|8|4|,74|33|17|7|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,74|33|17|7|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,74|33|17|7|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,74|33|17|7|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,74|33|17|7|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|74|33|17|7|3|,0|0|0|0|0|0|,228|74|33|17|7|3|,160|45|17|10|3|0|,68|29|16|7|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,68|29|16|7|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,68|29|16|7|4|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
