PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,13900.000000,300.000000,1,120,0,60,1,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
2,14000.000000,300.000000,1,120,0,60,1,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
3,12300.000000,8100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
4,16700.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
5,12100.000000,8100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
6,12200.000000,8100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
7,12300.000000,8200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
8,10200.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
9,4300.000000,4800.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
10,2600.000000,7000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
11,12200.000000,8000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
12,12400.000000,8200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
13,13700.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
14,3600.000000,6300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
15,2000.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
16,13000.000000,7600.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
17,16500.000000,7200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
18,14000.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
19,1000.000000,6700.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
20,10500.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
21,10700.000000,7200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
22,12700.000000,7700.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
23,12400.000000,7900.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
24,7900.000000,5000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
25,13800.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
26,11300.000000,300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
27,8300.000000,4100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
28,5600.000000,400.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
29,7400.000000,4800.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
30,16100.000000,7300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
31,12700.000000,500.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
