PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,5400.000000,700.000000,1,120,0,60,1,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
2,12400.000000,8200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
3,12300.000000,8200.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
4,12200.000000,8100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
5,10200.000000,7100.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
6,14000.000000,300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
7,3600.000000,6300.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
8,12200.000000,8000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
9,10300.000000,7000.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
10,10400.000000,6900.000000,1,120,0,0,0,0,random,classvars/ClassVars_AS1.csv,0,0,0,0,N,0,0,N,0,0,0.25,1,0,155 | 155 | 155,0,14,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5;0.1
